latitude,housing_median_age,median_income,ocean_proximity_INLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,rooms_per_household,bedrooms_per_room,median_house_value
37,41,8,0,1,0,6.984126984126984,0.14659090909090908,452600.0
37,21,8,0,1,0,6.238137082601054,0.15579659106916466,358500.0
37,52,7,0,1,0,8.288135593220339,0.12951601908657123,352100.0
37,52,5,0,1,0,5.8173515981735155,0.18445839874411302,341300.0
37,52,3,0,1,0,6.281853281853282,0.1720958819913952,342200.0
37,52,4,0,1,0,4.761658031088083,0.23177366702937977,269700.0
37,52,3,0,1,0,4.9319066147859925,0.19289940828402366,299200.0
37,52,3,0,1,0,4.797527047913447,0.22132731958762886,241400.0
37,42,2,0,1,0,4.294117647058823,0.2602739726027397,226700.0
37,52,3,0,1,0,4.970588235294118,0.1992110453648915,261100.0
37,52,3,0,1,0,5.477611940298507,0.19709355131698456,281500.0
37,52,3,0,1,0,4.772479564032698,0.2146731373108764,241800.0
37,52,3,0,1,0,5.322649572649572,0.1902850260939382,213500.0
37,52,2,0,1,0,4.0,0.2744252873563218,191300.0
37,52,1,0,1,0,4.262903225806451,0.23685206205069997,159200.0
37,50,2,0,1,0,4.242424242424242,0.2526785714285714,140000.0
37,52,2,0,1,0,5.9395770392749245,0.17650050864699898,152500.0
37,52,2,0,1,0,4.052805280528053,0.23859934853420195,155500.0
37,50,1,0,1,0,5.343675417661098,0.20321572130415363,158700.0
37,52,2,0,1,0,5.465454545454546,0.19827012641383898,162900.0
37,40,1,0,1,0,4.524096385542169,0.24500665778961384,147500.0
37,42,1,0,1,0,4.478142076502732,0.2239170225747407,159800.0
37,52,1,0,1,0,5.096234309623431,0.22208538587848933,113900.0
37,52,2,0,1,0,5.193846153846154,0.19964454976303317,99700.0
37,52,2,0,1,0,5.270142180094787,0.19649280575539568,132600.0
37,41,2,0,1,0,4.495798319327731,0.22990654205607478,107500.0
37,49,2,0,1,0,4.7280334728033475,0.215929203539823,93800.0
37,52,1,0,1,0,4.7808564231738035,0.22181243414120128,105500.0
37,50,1,0,1,0,4.40169133192389,0.23631123919308358,108900.0
37,52,1,0,1,0,4.703225806451613,0.2194787379972565,132000.0
37,49,1,0,1,0,5.068783068783069,0.23329853862212943,122300.0
37,52,1,0,1,0,4.882086167800454,0.22340919647004182,115200.0
37,48,1,0,1,0,5.737313432835821,0.21279916753381894,110400.0
37,49,1,0,1,0,5.0303951367781155,0.22114803625377644,104900.0
37,51,2,0,1,0,4.972014925373134,0.2153846153846154,109700.0
37,49,1,0,1,0,4.6022727272727275,0.23209876543209876,97200.0
37,48,1,0,1,0,4.807486631016043,0.24026696329254726,104500.0
37,52,1,0,1,0,3.7493796526054592,0.25810721376571805,103900.0
37,52,3,0,1,0,4.757281553398058,0.22448979591836735,191400.0
37,52,2,0,1,0,3.4942528735632186,0.29399671052631576,176000.0
37,52,2,0,1,0,4.215189873417722,0.25165165165165165,155400.0
37,51,1,0,1,0,3.7590361445783134,0.33226495726495725,150000.0
37,49,1,0,1,0,3.7724867724867726,0.28330995792426367,118800.0
37,52,3,0,1,0,4.797979797979798,0.21263157894736842,188800.0
37,52,3,0,1,0,4.941780821917808,0.21552321552321552,184400.0
37,52,2,0,1,0,4.335078534031414,0.2536231884057971,182300.0
37,50,2,0,1,0,3.700657894736842,0.2862222222222222,142500.0
37,43,1,0,1,0,3.9802371541501977,0.3098311817279047,137500.0
37,40,0,0,1,0,3.9,0.3125,187500.0
37,40,1,0,1,0,2.6875,0.3964059196617336,112500.0
37,21,0,0,1,0,2.045662100456621,0.5055803571428571,171900.0
37,43,1,0,1,0,4.58968058968059,0.24411134903640258,93800.0
37,41,1,0,1,0,4.473611111111111,0.26482458863706926,97500.0
37,52,1,0,1,0,4.075,0.27975460122699386,104200.0
37,52,1,0,1,0,5.021459227467811,0.20085470085470086,87500.0
37,52,1,0,1,0,4.295454545454546,0.2571428571428571,83100.0
37,52,1,0,1,0,4.77992277992278,0.23263327948303716,87500.0
37,52,0,0,1,0,6.102459016393443,0.22498321020819342,85300.0
37,52,1,0,1,0,4.5625,0.24585436193222782,80300.0
37,2,2,0,1,0,2.7719298245614037,0.2721518987341772,60000.0
37,52,3,0,1,0,5.994652406417113,0.18822479928635147,75700.0
37,49,6,0,1,0,5.869565217391305,0.21481481481481482,75000.0
37,50,0,0,1,0,6.229508196721311,0.25,86100.0
